cusotmer_id,customer_name,customer_mobile,frequency
AKFy3e,tim.AKFy3e,+886451320789,1
hTbkJx,eden.hTbkJx,+886048069585,10
RPn2MY,tom.RPn2MY,+886331662128,6
e7LG5w,eve.e7LG5w,+886840990452,2
to9Lxj,tom.to9Lxj,+886746958975,20
atDZUt,eden.atDZUt,+886950948887,10
G2qtzh,may.G2qtzh,+886395814512,16
hGxWuO,tim.hGxWuO,+886339152339,13
meFNmM,james.meFNmM,+886445256520,17
U3JPgR,tim.U3JPgR,+886899736346,0
VSnXZb,vivian.VSnXZb,+886443189808,10
xTuoJ0,kevin.xTuoJ0,+886802650173,20
z7gT0a,willy.z7gT0a,+886197162711,1
B9Yvki,tim.B9Yvki,+886926821104,9
ygcRPa,eden.ygcRPa,+886255716590,2
LeENSp,percy.LeENSp,+886571118357,14
fwnZW9,james.fwnZW9,+886982403814,16
fKXJX1,percy.fKXJX1,+886903240445,18
xvMdVd,may.xvMdVd,+886402197869,2
TvjQW7,eve.TvjQW7,+886454114056,18
ZJje1b,vivian.ZJje1b,+886375403998,8
PUbOGM,eden.PUbOGM,+886544471196,9
pF5e8f,eve.pF5e8f,+886462093471,14
FCdmMk,tom.FCdmMk,+886680061130,15
rM08wG,james.rM08wG,+886621150991,4
zD9AIE,percy.zD9AIE,+886385392707,6
O29Xdn,percy.O29Xdn,+886665204542,8
hdO4l6,vivian.hdO4l6,+886673302503,9
ASkgY3,may.ASkgY3,+886526801237,13
aQO8tL,tom.aQO8tL,+886316933577,14
M7ui1w,eden.M7ui1w,+886598120867,0
ButJpL,percy.ButJpL,+886133231764,17
ode69S,james.ode69S,+886810729868,10
h9ovRa,tom.h9ovRa,+886424633805,16
IwWfaz,kevin.IwWfaz,+886737151782,18
HdvBIi,may.HdvBIi,+886267041893,6
QCqSor,willy.QCqSor,+886380629623,14
q2zLnP,kevin.q2zLnP,+886930594164,10
rX5wE6,kevin.rX5wE6,+886444544365,2
kN4ipu,eden.kN4ipu,+886557958327,10
syv8sJ,kevin.syv8sJ,+886758649479,8
rHs53p,tim.rHs53p,+886280553558,10
YK2C4p,eden.YK2C4p,+886764892976,11
i928Na,tim.i928Na,+886812021908,7
GEaq13,willy.GEaq13,+886970016495,15
vt6nT0,vivian.vt6nT0,+886195336838,2
oVZ7wQ,james.oVZ7wQ,+886660973078,4
wdEiy9,vivian.wdEiy9,+886702494261,12
fSaFhL,willy.fSaFhL,+886391840130,0
AcaDET,may.AcaDET,+886704029928,10
